Approved Symbol,Synonyms and Symbols
ACBD3,"GOLPH1, GOCAP1,GCP60, PAP7"
AKAP1,"PRKA1,AKAP121, AKAP149, SAKAP84, S-AKAP84, AKAP84, D-AKAP1, PPP1R43, TDRD17"
AKAP10,"D-AKAP2, PRKA10, MGC9414"
AKAP11,"KIAA0629, AKAP220, PRKA11, FLJ11304, DKFZp781I12161, PPP1R44"
AKAP12,"AKAP250, SSeCKS"
AKAP13,"LBC,Ht31, BRX, AKAP-Lbc, c-lbc, PROTO-LB, HA-3, ARHGEF13"
AKAP14,AKAP28
AKAP17A,"CXYorf3, SFRS17A,XE7, XE7Y, DXYS155E, MGC39904, 721P, CCDC133"
AKAP17BP,"AKAP16B, AKAP16BP,"
AKAP2,"PRKA2,AKAP-KL, KIAA0920, DKFZp564L0716"
AKAP3,"FSP95, SOB1, AKAP110, CT82"
AKAP4,"p82, hAKAP82, AKAP82, Fsc1, HI, CT99"
AKAP5,"AKAP75, AKAP79"
AKAP6,"KIAA0311, mAKAP, AKAP100, PRKA6, ADAP6"
AKAP7,"AKAP18, AKAP15"
AKAP8,"AKAP95, DKFZp586B1222"
AKAP9,"KIAA0803, AKAP350, AKAP450, CG-NAP, YOTIAO, HYPERION, PRKA9, MU-RMS-40.16A, PPP1R45, LQT11"
ARFGEF2,BIG2
CBFA2T3,"MTGR2, ZMYND4, MTG16, RUNX1T3, ETO2"
CMYA5,"C5orf10,myospryn, SPRYD2, DKFZp451G223, TRIM76"
EZR,VIL2
MAP2,"MAP2A, MAP2B, MAP2C"
MYO7A,"USH1B, DFNB2, DFNA11,NSRD2"
MYRIP,"DKFZp586F1018, exophilin-8, MyRIP, SLAC2-C, SLAC2C"
NBEA,"KIAA1544, BCL8B, FLJ10197, LYST2"
NF2,"merlin, ACN, SCH, BANF"
RAB32,
SPHKAP,SKIP
SYNM,"DMN,KIAA0353, SYN"
WASF1,"WAVE1, SCAR1, KIAA0269, WAVE"
DUSP1,"PTPN10,HVH1, CL100, MKP-1"
DUSP10,"MKP-5, MKP5"
