,GeneA,GeneB,IdMethodA,IdMethodB,Negative,PubMedId,UTCDate
0,PRKAB1,PRKAG1,anti tag western blot,anti tag western blot,False,18480843,1212552000.0
1,PRKAB1,PRKAA1,anti tag western blot,anti tag western blot,False,18480843,1212552000.0
2,CDKN1B,CKS1B,predetermined participant,predetermined participant,False,18805092,1222056000.0
3,CDKN1B,SKP2,predetermined participant,predetermined participant,False,18805092,1222056000.0
4,CDK5R1,AATK,nucleotide sequence identification,nucleotide sequence identification,False,14521924,1065067200.0
5,CDK5R1,AATK,predetermined participant,predetermined participant,False,14521924,1065067200.0
6,CDK5R1,AATK,predetermined participant,predetermined participant,False,14521924,1065067200.0
7,CDK5R1,CDK5,molecular weight estimation by autoradiography,molecular weight estimation by autoradiography,False,14521924,1065067200.0
8,CDK5R1,AATK,molecular weight estimation by autoradiography,molecular weight estimation by autoradiography,False,14521924,1065067200.0
9,CDK5R1,CDK5,molecular weight estimation by autoradiography,molecular weight estimation by autoradiography,False,14521924,1065067200.0
10,CDK5R1,AATK,molecular weight estimation by autoradiography,molecular weight estimation by autoradiography,False,14521924,1065067200.0
11,CDK5R1,AATK,western blot,western blot,False,14521924,1065067200.0
12,CDK5R1,AATK,western blot,western blot,False,14521924,1065067200.0
13,CDK5,AATK,western blot,western blot,False,14521924,1065067200.0
14,AATK,CDK5,western blot,western blot,False,14521924,1065067200.0
15,AATK,CDK5R1,western blot,western blot,False,14521924,1065067200.0
16,AATK,CDK5R1,western blot,western blot,False,14521924,1065067200.0
17,MAP3K7,TAB1,western blot,western blot,False,19026643,1228107600.0
18,MAP3K7,TAB2,western blot,western blot,False,19026643,1228107600.0
19,MAP3K7,TAB1,western blot,western blot,False,19026643,1228107600.0
20,NME1,NME1,nucleotide sequence identification,nucleotide sequence identification,False,10602478,947134800.0
21,NME1,STRAP,nucleotide sequence identification,nucleotide sequence identification,False,17314099,1176696000.0
22,STRAP,NME1,anti tag western blot,anti tag western blot,False,17314099,1176696000.0
23,NME1,NME1,anti tag western blot,anti tag western blot,False,17314099,1176696000.0
24,NME1,NME2,anti tag western blot,anti tag western blot,False,17314099,1176696000.0
25,STRAP,STRAP,anti tag western blot,anti tag western blot,False,17314099,1176696000.0
26,STRAP,TGFBR1,anti tag western blot,anti tag western blot,False,17314099,1176696000.0
27,STRAP,NME1,western blot,western blot,False,17314099,1176696000.0
28,NME1,STRAP,western blot,western blot,False,17314099,1176696000.0
29,STRAP,NME1,western blot,western blot,False,17314099,1176696000.0
30,NME1,STRAP,immunostaining,immunostaining,False,17314099,1176696000.0
