Entry	Entry name	Entry name	Protein names	Gene names	Organism	Gene names  (synonym )	Gene names  (primary )
P00533	EGFR	egfr	Epidermal growth factor receptor (EC 2.7.10.1) (Proto-oncogene c-ErbB-1) (Receptor tyrosine-protein kinase erbB-1)	EGFR ERBB ERBB1 HER1	Homo sapiens (Human)	ERBB ERBB1 HER1	EGFR
P31749	AKT1	akt1	RAC-alpha serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase B) (PKB) (Protein kinase B alpha) (PKB alpha) (Proto-oncogene c-Akt) (RAC-PK-alpha)	AKT1 PKB RAC	Homo sapiens (Human)	PKB RAC	AKT1
P63244	RACK1	rack1	"Receptor of activated protein C kinase 1 (Cell proliferation-inducing gene 21 protein) (Guanine nucleotide-binding protein subunit beta-2-like 1) (Guanine nucleotide-binding protein subunit beta-like protein 12.3) (Human lung cancer oncogene 7 protein) (HLC-7) (Receptor for activated C kinase) (Small ribosomal subunit protein RACK1) [Cleaved into: Receptor of activated protein C kinase 1, N-terminally processed (Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed)]"	RACK1 GNB2L1 HLC7 PIG21	Homo sapiens (Human)	GNB2L1	RACK1
Q5S007	LRRK2	lrrk2	Leucine-rich repeat serine/threonine-protein kinase 2 (EC 2.7.11.1) (Dardarin)	LRRK2 PARK8	Homo sapiens (Human)	PARK8	LRRK2
P12931	SRC	src	Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)	SRC SRC1	Homo sapiens (Human)	SRC1	SRC
P11362	FGFR1	fgfr1	Fibroblast growth factor receptor 1 (FGFR-1) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1) (BFGFR) (bFGF-R-1) (Fms-like tyrosine kinase 2) (FLT-2) (N-sam) (Proto-oncogene c-Fgr) (CD antigen CD331)	FGFR1 BFGFR CEK FGFBR FLG FLT2 HBGFR	Homo sapiens (Human)	BFGFR CEK FGFBR FLG FLT2 HBGFR	FGFR1
P10721	KIT	kit	Mast/stem cell growth factor receptor Kit (SCFR) (EC 2.7.10.1) (Piebald trait protein) (PBT) (Proto-oncogene c-Kit) (Tyrosine-protein kinase Kit) (p145 c-kit) (v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog) (CD antigen CD117)	KIT SCFR	Homo sapiens (Human)	SCFR	KIT
P00519	ABL1	abl1	Tyrosine-protein kinase ABL1 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150)	ABL1 ABL JTK7	Homo sapiens (Human)	ABL JTK7	ABL1
P28482	MK01	mk01	Mitogen-activated protein kinase 1 (MAP kinase 1) (MAPK 1) (EC 2.7.11.24) (ERT1) (Extracellular signal-regulated kinase 2) (ERK-2) (MAP kinase isoform p42) (p42-MAPK) (Mitogen-activated protein kinase 2) (MAP kinase 2) (MAPK 2)	MAPK1 ERK2 PRKM1 PRKM2	Homo sapiens (Human)	ERK2 PRKM1 PRKM2	MAPK1
Q06187	BTK	btk	Tyrosine-protein kinase BTK (EC 2.7.10.2) (Agammaglobulinemia tyrosine kinase) (ATK) (B-cell progenitor kinase) (BPK) (Bruton tyrosine kinase)	BTK AGMX1 ATK BPK	Homo sapiens (Human)	AGMX1 ATK BPK	BTK
P04626	ERBB2	erbb2	Receptor tyrosine-protein kinase erbB-2 (EC 2.7.10.1) (Metastatic lymph node gene 19 protein) (MLN 19) (Proto-oncogene Neu) (Proto-oncogene c-ErbB-2) (Tyrosine kinase-type cell surface receptor HER2) (p185erbB2) (CD antigen CD340)	ERBB2 HER2 MLN19 NEU NGL	Homo sapiens (Human)	HER2 MLN19 NEU NGL	ERBB2
Q16539	MK14	mk14	Mitogen-activated protein kinase 14 (MAP kinase 14) (MAPK 14) (EC 2.7.11.24) (Cytokine suppressive anti-inflammatory drug-binding protein) (CSAID-binding protein) (CSBP) (MAP kinase MXI2) (MAX-interacting protein 2) (Mitogen-activated protein kinase p38 alpha) (MAP kinase p38 alpha) (Stress-activated protein kinase 2a) (SAPK2a)	MAPK14 CSBP CSBP1 CSBP2 CSPB1 MXI2 SAPK2A	Homo sapiens (Human)	CSBP CSBP1 CSBP2 CSPB1 MXI2 SAPK2A	MAPK14
P07949	RET	ret	Proto-oncogene tyrosine-protein kinase receptor Ret (EC 2.7.10.1) (Cadherin family member 12) (Proto-oncogene c-Ret) [Cleaved into: Soluble RET kinase fragment; Extracellular cell-membrane anchored RET cadherin 120 kDa fragment]	RET CDHF12 CDHR16 PTC RET51	Homo sapiens (Human)	CDHF12 CDHR16 PTC RET51	RET
Q9NYL2	M3K20	m3k20	Mitogen-activated protein kinase kinase kinase 20 (EC 2.7.11.25) (Human cervical cancer suppressor gene 4 protein) (HCCS-4) (Leucine zipper- and sterile alpha motif-containing kinase) (MLK-like mitogen-activated protein triple kinase) (Mitogen-activated protein kinase kinase kinase MLT) (Mixed lineage kinase-related kinase) (MLK-related kinase) (MRK) (Sterile alpha motif- and leucine zipper-containing kinase AZK)	MAP3K20 MLTK ZAK HCCS4	Homo sapiens (Human)	MLTK ZAK	MAP3K20
Q13315	ATM	atm	Serine-protein kinase ATM (EC 2.7.11.1) (Ataxia telangiectasia mutated) (A-T mutated)	ATM	Homo sapiens (Human)		ATM
Q14289	FAK2	fak2	Protein-tyrosine kinase 2-beta (EC 2.7.10.2) (Calcium-dependent tyrosine kinase) (CADTK) (Calcium-regulated non-receptor proline-rich tyrosine kinase) (Cell adhesion kinase beta) (CAK-beta) (CAKB) (Focal adhesion kinase 2) (FADK 2) (Proline-rich tyrosine kinase 2) (Related adhesion focal tyrosine kinase) (RAFTK)	PTK2B FAK2 PYK2 RAFTK	Homo sapiens (Human)	FAK2 PYK2 RAFTK	PTK2B
Q05397	FAK1	fak1	Focal adhesion kinase 1 (FADK 1) (EC 2.7.10.2) (Focal adhesion kinase-related nonkinase) (FRNK) (Protein phosphatase 1 regulatory subunit 71) (PPP1R71) (Protein-tyrosine kinase 2) (p125FAK) (pp125FAK)	PTK2 FAK FAK1	Homo sapiens (Human)	FAK FAK1	PTK2
P53350	PLK1	plk1	Serine/threonine-protein kinase PLK1 (EC 2.7.11.21) (Polo-like kinase 1) (PLK-1) (Serine/threonine-protein kinase 13) (STPK13)	PLK1 PLK	Homo sapiens (Human)	PLK	PLK1
P07948	LYN	lyn	Tyrosine-protein kinase Lyn (EC 2.7.10.2) (Lck/Yes-related novel protein tyrosine kinase) (V-yes-1 Yamaguchi sarcoma viral related oncogene homolog) (p53Lyn) (p56Lyn)	LYN JTK8	Homo sapiens (Human)	JTK8	LYN
P27986	P85A	p85a	Phosphatidylinositol 3-kinase regulatory subunit alpha (PI3-kinase regulatory subunit alpha) (PI3K regulatory subunit alpha) (PtdIns-3-kinase regulatory subunit alpha) (Phosphatidylinositol 3-kinase 85 kDa regulatory subunit alpha) (PI3-kinase subunit p85-alpha) (PtdIns-3-kinase regulatory subunit p85-alpha)	PIK3R1 GRB1	Homo sapiens (Human)	GRB1	PIK3R1
Q07912	ACK1	ack1	Activated CDC42 kinase 1 (ACK-1) (EC 2.7.10.2) (EC 2.7.11.1) (Tyrosine kinase non-receptor protein 2)	TNK2 ACK1	Homo sapiens (Human)	ACK1	TNK2
P63104	1433Z	1433z	14-3-3 protein zeta/delta (Protein kinase C inhibitor protein 1) (KCIP-1)	YWHAZ	Homo sapiens (Human)		YWHAZ
Q9UGJ0	AAKG2	aakg2	5'-AMP-activated protein kinase subunit gamma-2 (AMPK gamma2) (AMPK subunit gamma-2) (H91620p)	PRKAG2	Homo sapiens (Human)		PRKAG2
P31946	1433B	1433b	"14-3-3 protein beta/alpha (Protein 1054) (Protein kinase C inhibitor protein 1) (KCIP-1) [Cleaved into: 14-3-3 protein beta/alpha, N-terminally processed]"	YWHAB	Homo sapiens (Human)		YWHAB
Q9Y478	AAKB1	aakb1	5'-AMP-activated protein kinase subunit beta-1 (AMPK subunit beta-1) (AMPKb)	PRKAB1 AMPK	Homo sapiens (Human)	AMPK	PRKAB1
P61981	1433G	1433g	"14-3-3 protein gamma (Protein kinase C inhibitor protein 1) (KCIP-1) [Cleaved into: 14-3-3 protein gamma, N-terminally processed]"	YWHAG	Homo sapiens (Human)		YWHAG
Q13131	AAPK1	aapk1	5'-AMP-activated protein kinase catalytic subunit alpha-1 (AMPK subunit alpha-1) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31) (Tau-protein kinase PRKAA1) (EC 2.7.11.26)	PRKAA1 AMPK1	Homo sapiens (Human)	AMPK1	PRKAA1
Q2M2I8	AAK1	aak1	AP2-associated protein kinase 1 (EC 2.7.11.1) (Adaptor-associated kinase 1)	AAK1 KIAA1048	Homo sapiens (Human)	KIAA1048	AAK1
P54619	AAKG1	aakg1	5'-AMP-activated protein kinase subunit gamma-1 (AMPK gamma1) (AMPK subunit gamma-1) (AMPKg)	PRKAG1	Homo sapiens (Human)		PRKAG1
Q9UGI9	AAKG3	aakg3	5'-AMP-activated protein kinase subunit gamma-3 (AMPK gamma3) (AMPK subunit gamma-3)	PRKAG3 AMPKG3	Homo sapiens (Human)	AMPKG3	PRKAG3
P54646	AAPK2	aapk2	5'-AMP-activated protein kinase catalytic subunit alpha-2 (AMPK subunit alpha-2) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31)	PRKAA2 AMPK AMPK2	Homo sapiens (Human)	AMPK AMPK2	PRKAA2
Q99490	AGAP2	agap2	"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2 (AGAP-2) (Centaurin-gamma-1) (Cnt-g1) (GTP-binding and GTPase-activating protein 2) (GGAP2) (Phosphatidylinositol 3-kinase enhancer) (PIKE)"	AGAP2 CENTG1 KIAA0167	Homo sapiens (Human)	CENTG1 KIAA0167	AGAP2
Q7Z695	ADCK2	adck2	Uncharacterized aarF domain-containing protein kinase 2 (EC 2.7.11.-)	ADCK2 AARF	Homo sapiens (Human)	AARF	ADCK2
P55263	ADK	adk	Adenosine kinase (AK) (EC 2.7.1.20) (Adenosine 5'-phosphotransferase)	ADK	Homo sapiens (Human)		ADK
Q9BRR6	ADPGK	adpgk	ADP-dependent glucokinase (ADP-GK) (ADPGK) (EC 2.7.1.147) (RbBP-35)	ADPGK PSEC0260	Homo sapiens (Human)		ADPGK
Q8NER5	ACV1C	acv1c	Activin receptor type-1C (EC 2.7.11.30) (Activin receptor type IC) (ACTR-IC) (Activin receptor-like kinase 7) (ALK-7)	ACVR1C ALK7	Homo sapiens (Human)	ALK7	ACVR1C
P42684	ABL2	abl2	Abelson tyrosine-protein kinase 2 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 2) (Abelson-related gene protein) (Tyrosine-protein kinase ARG)	ABL2 ABLL ARG	Homo sapiens (Human)	ABLL ARG	ABL2
P37023	ACVL1	acvl1	Serine/threonine-protein kinase receptor R3 (SKR3) (EC 2.7.11.30) (Activin receptor-like kinase 1) (ALK-1) (TGF-B superfamily receptor type I) (TSR-I)	ACVRL1 ACVRLK1 ALK1	Homo sapiens (Human)	ACVRLK1 ALK1	ACVRL1
Q3MIX3	ADCK5	adck5	Uncharacterized aarF domain-containing protein kinase 5 (EC 2.7.11.-)	ADCK5	Homo sapiens (Human)		ADCK5
Q9UM73	ALK	alk	ALK tyrosine kinase receptor (EC 2.7.10.1) (Anaplastic lymphoma kinase) (CD antigen CD246)	ALK	Homo sapiens (Human)		ALK
O43741	AAKB2	aakb2	5'-AMP-activated protein kinase subunit beta-2 (AMPK subunit beta-2)	PRKAB2	Homo sapiens (Human)		PRKAB2
Q04771	ACVR1	acvr1	Activin receptor type-1 (EC 2.7.11.30) (Activin receptor type I) (ACTR-I) (Activin receptor-like kinase 2) (ALK-2) (Serine/threonine-protein kinase receptor R1) (SKR1) (TGF-B superfamily receptor type I) (TSR-I)	ACVR1 ACVRLK2	Homo sapiens (Human)	ACVRLK2	ACVR1
Q92667	AKAP1	akap1	"A-kinase anchor protein 1, mitochondrial (A-kinase anchor protein 149 kDa) (AKAP 149) (Dual specificity A-kinase-anchoring protein 1) (D-AKAP-1) (Protein kinase A-anchoring protein 1) (PRKA1) (Spermatid A-kinase anchor protein 84) (S-AKAP84)"	AKAP1 AKAP149 PRKA1	Homo sapiens (Human)	AKAP149 PRKA1	AKAP1
Q5JQC9	AKAP4	akap4	A-kinase anchor protein 4 (AKAP-4) (A-kinase anchor protein 82 kDa) (AKAP 82) (hAKAP82) (Major sperm fibrous sheath protein) (HI) (Protein kinase A-anchoring protein 4) (PRKA4)	AKAP4 AKAP82	Homo sapiens (Human)	AKAP82	AKAP4
Q9ULX6	AKP8L	akp8l	A-kinase anchor protein 8-like (AKAP8-like protein) (Helicase A-binding protein 95) (HAP95) (Homologous to AKAP95 protein) (HA95) (Neighbor of A-kinase-anchoring protein 95) (Neighbor of AKAP95)	AKAP8L NAKAP NAKAP95 HRIHFB2018	Homo sapiens (Human)	NAKAP NAKAP95	AKAP8L
P36896	ACV1B	acv1b	Activin receptor type-1B (EC 2.7.11.30) (Activin receptor type IB) (ACTR-IB) (Activin receptor-like kinase 4) (ALK-4) (Serine/threonine-protein kinase receptor R2) (SKR2)	ACVR1B ACVRLK4 ALK4	Homo sapiens (Human)	ACVRLK4 ALK4	ACVR1B
Q02952	AKA12	aka12	A-kinase anchor protein 12 (AKAP-12) (A-kinase anchor protein 250 kDa) (AKAP 250) (Gravin) (Myasthenia gravis autoantigen)	AKAP12 AKAP250	Homo sapiens (Human)	AKAP250	AKAP12
P24588	AKAP5	akap5	A-kinase anchor protein 5 (AKAP-5) (A-kinase anchor protein 79 kDa) (AKAP 79) (H21) (cAMP-dependent protein kinase regulatory subunit II high affinity-binding protein)	AKAP5 AKAP79	Homo sapiens (Human)	AKAP79	AKAP5
Q13023	AKAP6	akap6	A-kinase anchor protein 6 (AKAP-6) (A-kinase anchor protein 100 kDa) (AKAP 100) (Protein kinase A-anchoring protein 6) (PRKA6) (mAKAP)	AKAP6 AKAP100 KIAA0311	Homo sapiens (Human)	AKAP100 KIAA0311	AKAP6
O43572	AKA10	aka10	"A-kinase anchor protein 10, mitochondrial (AKAP-10) (Dual specificity A kinase-anchoring protein 2) (D-AKAP-2) (Protein kinase A-anchoring protein 10) (PRKA10)"	AKAP10	Homo sapiens (Human)		AKAP10
P0CW23	AKAI1	akai1	A-kinase anchor protein inhibitor 1	AKAIN1 C18orf42	Homo sapiens (Human)	C18orf42	AKAIN1
Q9Y2D5	AKAP2	akap2	A-kinase anchor protein 2 (AKAP-2) (AKAP-KL) (Protein kinase A-anchoring protein 2) (PRKA2)	AKAP2 KIAA0920 PRKA2	Homo sapiens (Human)	KIAA0920 PRKA2	AKAP2
Q99996	AKAP9	akap9	A-kinase anchor protein 9 (AKAP-9) (A-kinase anchor protein 350 kDa) (AKAP 350) (hgAKAP 350) (A-kinase anchor protein 450 kDa) (AKAP 450) (AKAP 120-like protein) (Centrosome- and Golgi-localized PKN-associated protein) (CG-NAP) (Protein hyperion) (Protein kinase A-anchoring protein 9) (PRKA9) (Protein yotiao)	AKAP9 AKAP350 AKAP450 KIAA0803	Homo sapiens (Human)	AKAP350 AKAP450 KIAA0803	AKAP9
Q9NQ31	AKIP1	akip1	A-kinase-interacting protein 1 (Breast cancer-associated gene 3 protein) (PKA-interacting protein) (Proline-rich protein BCA3)	AKIP1 BCA3 C11orf17	Homo sapiens (Human)	BCA3 C11orf17	AKIP1
Q12802	AKP13	akp13	A-kinase anchor protein 13 (AKAP-13) (AKAP-Lbc) (Breast cancer nuclear receptor-binding auxiliary protein) (Guanine nucleotide exchange factor Lbc) (Human thyroid-anchoring protein 31) (Lymphoid blast crisis oncogene) (LBC oncogene) (Non-oncogenic Rho GTPase-specific GTP exchange factor) (Protein kinase A-anchoring protein 13) (PRKA13) (p47)	AKAP13 BRX HT31 LBC	Homo sapiens (Human)	BRX HT31 LBC	AKAP13
P31751	AKT2	akt2	RAC-beta serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase Akt-2) (Protein kinase B beta) (PKB beta) (RAC-PK-beta)	AKT2	Homo sapiens (Human)		AKT2
Q9Y243	AKT3	akt3	RAC-gamma serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase Akt-3) (Protein kinase B gamma) (PKB gamma) (RAC-PK-gamma) (STK-2)	AKT3 PKBG	Homo sapiens (Human)	PKBG	AKT3
Q9NWT8	AKIP	akip	"Aurora kinase A-interacting protein (AURKA-interacting protein) (28S ribosomal protein S38, mitochondrial) (MRP-S38) (Mitochondrial small ribosomal subunit protein mS38)"	AURKAIP1 AIP AKIP MRPS38	Homo sapiens (Human)	AIP AKIP MRPS38	AURKAIP1
O14744	ANM5	anm5	"Protein arginine N-methyltransferase 5 (EC 2.1.1.320) (72 kDa ICln-binding protein) (Histone-arginine N-methyltransferase PRMT5) (Jak-binding protein 1) (Shk1 kinase-binding protein 1 homolog) (SKB1 homolog) (SKB1Hs) [Cleaved into: Protein arginine N-methyltransferase 5, N-terminally processed]"	PRMT5 HRMT1L5 IBP72 JBP1 SKB1	Homo sapiens (Human)	HRMT1L5 IBP72 JBP1 SKB1	PRMT5
P25098	ARBK1	arbk1	Beta-adrenergic receptor kinase 1 (Beta-ARK-1) (EC 2.7.11.15) (G-protein coupled receptor kinase 2)	GRK2 ADRBK1 BARK BARK1	Homo sapiens (Human)	ADRBK1 BARK BARK1	GRK2
Q9P0M2	AKA7G	aka7g	A-kinase anchor protein 7 isoform gamma (AKAP-7 isoform gamma) (A-kinase anchor protein 18 kDa) (AKAP 18) (Protein kinase A-anchoring protein 7 isoform gamma) (PRKA7 isoform gamma)	AKAP7 AKAP18	Homo sapiens (Human)	AKAP18	AKAP7
O75969	AKAP3	akap3	A-kinase anchor protein 3 (AKAP-3) (A-kinase anchor protein 110 kDa) (AKAP 110) (Cancer/testis antigen 82) (CT82) (Fibrous sheath protein of 95 kDa) (FSP95) (Fibrousheathin I) (Fibrousheathin-1) (Protein kinase A-anchoring protein 3) (PRKA3) (Sperm oocyte-binding protein)	AKAP3 AKAP110 SOB1	Homo sapiens (Human)	AKAP110 SOB1	AKAP3
Q86TB3	ALPK2	alpk2	Alpha-protein kinase 2 (EC 2.7.11.-) (Heart alpha-protein kinase)	ALPK2 HAK	Homo sapiens (Human)	HAK	ALPK2
Q53H12	AGK	agk	"Acylglycerol kinase, mitochondrial (hAGK) (EC 2.7.1.107) (EC 2.7.1.94) (Multiple substrate lipid kinase) (HsMuLK) (MuLK) (Multi-substrate lipid kinase)"	AGK MULK	Homo sapiens (Human)	MULK	AGK
Q02040	AK17A	ak17a	"A-kinase anchor protein 17A (AKAP-17A) (721P) (B-lymphocyte antigen) (Protein XE7) (Protein kinase A-anchoring protein 17A) (PRKA17A) (Splicing factor, arginine/serine-rich 17A)"	AKAP17A CXYorf3 DXYS155E SFRS17A XE7	Homo sapiens (Human)	CXYorf3 DXYS155E SFRS17A XE7	AKAP17A
Q86UN6	AKA28	aka28	A-kinase anchor protein 14 (AKAP-14) (A-kinase anchor protein 28 kDa) (AKAP 28) (Protein kinase A-anchoring protein 14) (PRKA14)	AKAP14 AKAP28	Homo sapiens (Human)	AKAP28	AKAP14
O43823	AKAP8	akap8	A-kinase anchor protein 8 (AKAP-8) (A-kinase anchor protein 95 kDa) (AKAP 95)	AKAP8 AKAP95	Homo sapiens (Human)	AKAP95	AKAP8
Q9UKA4	AKA11	aka11	A-kinase anchor protein 11 (AKAP-11) (A-kinase anchor protein 220 kDa) (AKAP 220) (hAKAP220) (Protein kinase A-anchoring protein 11) (PRKA11)	AKAP11 AKAP220 KIAA0629	Homo sapiens (Human)	AKAP220 KIAA0629	AKAP11
O43687	AKA7A	aka7a	A-kinase anchor protein 7 isoforms alpha and beta (AKAP-7 isoforms alpha and beta) (A-kinase anchor protein 18 kDa) (AKAP 18) (Protein kinase A-anchoring protein 7 isoforms alpha/beta) (PRKA7 isoforms alpha/beta)	AKAP7 AKAP15 AKAP18	Homo sapiens (Human)	AKAP15 AKAP18	AKAP7
Q86TW2	ADCK1	adck1	Uncharacterized aarF domain-containing protein kinase 1 (EC 2.7.11.-)	ADCK1	Homo sapiens (Human)		ADCK1
Q96QP1	ALPK1	alpk1	Alpha-protein kinase 1 (EC 2.7.11.-) (Chromosome 4 kinase) (Lymphocyte alpha-protein kinase)	ALPK1 KIAA1527 LAK	Homo sapiens (Human)	KIAA1527 LAK	ALPK1
Q96L96	ALPK3	alpk3	Alpha-protein kinase 3 (EC 2.7.11.-) (Muscle alpha-protein kinase)	ALPK3 KIAA1330 MAK	Homo sapiens (Human)	KIAA1330 MAK	ALPK3
Q8NFD2	ANKK1	ankk1	Ankyrin repeat and protein kinase domain-containing protein 1 (EC 2.7.11.1) (Protein kinase PKK2) (Sugen kinase 288) (SgK288) (X-kinase)	ANKK1 PKK2 SGK288	Homo sapiens (Human)	PKK2 SGK288	ANKK1
P10398	ARAF	araf	Serine/threonine-protein kinase A-Raf (EC 2.7.11.1) (Proto-oncogene A-Raf) (Proto-oncogene A-Raf-1) (Proto-oncogene Pks)	ARAF ARAF1 PKS PKS2	Homo sapiens (Human)	ARAF1 PKS PKS2	ARAF
P35626	ARBK2	arbk2	Beta-adrenergic receptor kinase 2 (Beta-ARK-2) (EC 2.7.11.15) (G-protein-coupled receptor kinase 3)	GRK3 ADRBK2 BARK2	Homo sapiens (Human)	ADRBK2 BARK2	GRK3
